Customer ID,Customer Age,Gender,Purchase Date,Product Category,Product Price,Quantity,Total Purchase Amount,Payment Method,Returns,Churn
CUST00001,36,Male,2023-06-28,Ski Equipment,702.35,2,1404.7,Debit Card,1,1
CUST00002,35,Male,2025-05-09,Backpacks,218.37,2,436.74,Credit Card,0,0
CUST00003,59,Female,2024-11-20,Ski Apparel,112.86,3,338.58,Credit Card,0,0
CUST00004,38,Male,2023-09-13,Ski Equipment,182.59,1,182.59,Invoice,0,0
CUST00005,45,Female,2024-04-11,Backpacks,261.37,1,261.37,PayPal,0,0
CUST00006,23,Female,2023-11-30,Hiking Apparel,121.61,2,243.22,Debit Card,0,0
CUST00007,53,Female,2025-02-16,Trail Running Shoes,202.08,1,202.08,Credit Card,0,0
CUST00008,31,Male,2023-03-07,Ski Apparel,321.23,1,321.23,TWINT,0,1
CUST00009,51,Female,2025-07-28,Ski Equipment,524.42,3,1573.26,Credit Card,0,0
CUST00010,29,Female,2025-01-11,Base Layers,81.41,1,81.41,Credit Card,0,0
CUST00011,41,Male,2023-05-11,Tents & Sleeping,491.88,1,491.88,Debit Card,0,0
CUST00012,40,Male,2023-08-23,Backpacks,332.73,2,665.46,PayPal,0,0
CUST00013,34,Male,2024-06-23,Hiking Apparel,211.69,3,635.07,Invoice,0,0
CUST00014,33,Male,2024-02-12,Tents & Sleeping,517.67,1,517.67,Credit Card,0,0
CUST00015,40,Male,2024-09-21,Ski Apparel,66.62,3,199.86,Credit Card,0,0
CUST00016,23,Male,2025-12-26,Base Layers,127.92,4,511.68,PayPal,1,0
CUST00017,29,Female,2024-02-16,Hiking Apparel,78.12,1,78.12,PayPal,0,0
CUST00018,35,Male,2023-05-12,Accessories,41.6,1,41.6,Credit Card,0,0
CUST00019,38,Female,2023-05-26,Ski Equipment,829.07,2,1658.14,Debit Card,0,0
CUST00020,42,Female,2024-05-12,Base Layers,135.89,1,135.89,PayPal,0,1
CUST00021,48,Male,2023-07-21,Climbing Gear,372.67,2,745.34,Credit Card,0,0
CUST00022,45,Male,2024-01-11,Trail Running Shoes,175.08,1,175.08,Credit Card,0,0
CUST00023,16,Female,2023-07-11,Hiking Footwear,279.86,2,559.72,TWINT,0,1
CUST00024,46,Female,2025-02-15,Ski Equipment,450.78,1,450.78,Credit Card,0,0
CUST00025,40,Female,2025-09-23,Base Layers,124.0,2,248.0,Credit Card,0,0
CUST00026,28,Female,2025-09-03,Backpacks,274.39,1,274.39,Debit Card,0,1
CUST00027,42,Male,2023-09-03,Backpacks,252.56,1,252.56,TWINT,0,0
CUST00028,36,Male,2024-10-09,Hiking Footwear,211.47,1,211.47,TWINT,0,0
CUST00029,38,Female,2023-05-29,Ski Apparel,167.5,2,335.0,Credit Card,0,0
CUST00030,50,Male,2024-12-15,Backpacks,201.77,1,201.77,TWINT,0,0
CUST00031,50,Female,2023-01-17,Tents & Sleeping,593.36,2,1186.72,PayPal,0,0
CUST00032,57,Male,2023-11-15,Accessories,28.51,3,85.53,Credit Card,0,0
CUST00033,42,Male,2023-07-09,Climbing Gear,455.51,2,911.02,PayPal,0,1
CUST00034,54,Male,2025-06-23,Trail Running Shoes,237.17,1,237.17,Debit Card,0,1
CUST00035,60,Female,2023-10-31,Backpacks,300.38,1,300.38,Debit Card,1,0
CUST00036,49,Female,2024-05-26,Bike & MTB,70.32,1,70.32,PayPal,0,0
CUST00037,60,Female,2023-12-29,Navigation & Safety,86.29,1,86.29,TWINT,1,0
CUST00038,16,Male,2024-05-23,Navigation & Safety,244.63,2,489.26,Credit Card,0,1
CUST00039,54,Male,2024-04-11,Accessories,42.22,1,42.22,Credit Card,0,0
CUST00040,20,Male,2025-11-09,Hiking Footwear,234.67,1,234.67,Debit Card,0,0
CUST00041,43,Non-binary,2023-08-11,Trail Running Shoes,234.75,1,234.75,Debit Card,0,0
CUST00042,35,Male,2024-01-25,Bike & MTB,127.89,3,383.67,Credit Card,0,1
CUST00043,51,Female,2023-05-24,Base Layers,110.48,1,110.48,TWINT,0,0
CUST00044,31,Female,2025-04-16,Trail Running Shoes,226.01,1,226.01,Credit Card,0,0
CUST00045,44,Male,2025-04-11,Base Layers,50.88,1,50.88,Debit Card,1,1
CUST00046,54,Male,2025-06-24,Backpacks,246.41,1,246.41,PayPal,0,0
CUST00047,56,Female,2023-07-11,Ski Equipment,647.89,1,647.89,TWINT,0,0
CUST00048,33,Male,2025-08-31,Ski Equipment,168.32,1,168.32,PayPal,0,0
CUST00049,49,Female,2023-01-12,Hiking Apparel,111.94,1,111.94,TWINT,0,0
CUST00050,27,Female,2025-08-09,Ski Equipment,753.08,2,1506.16,Credit Card,0,0
CUST00051,17,Female,2025-06-25,Bike & MTB,492.54,3,1477.62,PayPal,0,0
CUST00052,43,Female,2025-08-30,Backpacks,319.16,2,638.32,Debit Card,0,0
CUST00053,34,Female,2024-04-25,Ski Equipment,479.9,2,959.8,Credit Card,0,0
CUST00054,58,Male,2023-05-12,Ski Equipment,670.46,2,1340.92,Debit Card,0,0
CUST00055,58,Male,2025-02-18,Base Layers,143.53,1,143.53,Debit Card,0,0
CUST00056,46,Male,2024-03-27,Accessories,68.5,1,68.5,Debit Card,0,0
CUST00057,24,Female,2025-12-29,Base Layers,130.86,3,392.58,Credit Card,0,0
CUST00058,49,Male,2023-04-13,Tents & Sleeping,150.56,1,150.56,Credit Card,0,0
CUST00059,25,Male,2025-08-21,Bike & MTB,360.39,2,720.78,Credit Card,0,0
CUST00060,59,Male,2023-03-05,Tents & Sleeping,486.24,2,972.48,TWINT,0,1
CUST00061,41,Female,2025-01-25,Backpacks,115.39,2,230.78,Credit Card,0,0
CUST00062,43,Male,2023-02-22,Accessories,77.53,1,77.53,TWINT,0,0
CUST00063,17,Male,2024-09-09,Backpacks,299.17,1,299.17,TWINT,0,1
CUST00064,58,Non-binary,2025-01-28,Accessories,34.3,1,34.3,Credit Card,0,1
CUST00065,25,Male,2023-11-10,Hiking Apparel,200.48,1,200.48,Debit Card,0,0
CUST00066,44,Male,2025-06-11,Accessories,47.67,1,47.67,TWINT,0,0
